"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb","thrpt",3,5,416.030179,80.875970,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb:GC-Collections","thrpt",3,5,29.000000,24.806038,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb:GC-Time","thrpt",3,5,132.800000,17.090961,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb:JVMCPU","thrpt",3,5,48556.000000,17810.936941,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb:MemAlloc","thrpt",3,5,8445310.832000,6850726.847549,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb:ThreadCPU","thrpt",3,5,16208.800000,8040.181130,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite118Kb","thrpt",3,5,773.084173,129.414595,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite118Kb:GC-Collections","thrpt",3,5,8.000000,3.850644,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite118Kb:GC-Time","thrpt",3,5,40.400000,37.194111,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite118Kb:JVMCPU","thrpt",3,5,17468.000000,3146.638218,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite118Kb:MemAlloc","thrpt",3,5,2377426.444000,499271.105813,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite118Kb:ThreadCPU","thrpt",3,5,5501.000000,1709.332458,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite1Kb","thrpt",3,5,668.250877,370.799762,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite1Kb:GC-Collections","thrpt",3,5,9.800000,4.218169,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite1Kb:GC-Time","thrpt",3,5,40.200000,68.418044,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite1Kb:JVMCPU","thrpt",3,5,15224.000000,431.031388,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite1Kb:MemAlloc","thrpt",3,5,11716849.720000,7119666.462673,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite1Kb:ThreadCPU","thrpt",3,5,4961.000000,79.383058,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite56Kb","thrpt",3,5,806.213599,35.833794,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite56Kb:GC-Collections","thrpt",3,5,9.000000,12.176805,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite56Kb:GC-Time","thrpt",3,5,36.200000,61.994171,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite56Kb:JVMCPU","thrpt",3,5,16274.000000,451.199521,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite56Kb:MemAlloc","thrpt",3,5,2500029.346000,303024.774704,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite56Kb:ThreadCPU","thrpt",3,5,5280.000000,589.953335,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite614Kb","thrpt",3,5,758.589865,176.150196,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite614Kb:GC-Collections","thrpt",3,5,11.800000,19.520904,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite614Kb:GC-Time","thrpt",3,5,47.200000,88.790539,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite614Kb:JVMCPU","thrpt",3,5,28192.000000,6677.032117,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite614Kb:MemAlloc","thrpt",3,5,4110534.190000,2528070.367551,"Memory Allocated kB"
